"Model","Kappa","Accuracy"
"LDA",0.153360909251149,0.469893978795759
"Logistic Regression",0.151777463420738,0.470494098819764
"Ridge",0.149166471324571,0.46869373874775
"NDA",0.148079248978441,0.462092418483697
"Lasso",0.14774780207618,0.519303860772154
"FDA",0.147655351820474,0.499099819963993
"PLS-DA",0.138913841869869,0.464292858571714
"Elastic Net",0.131935236205195,0.49869973994799
"Naive Bayes",0.113050908017015,0.420484096819364
"KNN",0.0921401596344103,0.39747949589918
