"Model","Kappa","Accuracy"
"FDA",0.162792112464326,0.572114422884577
"NDA",0.156758827245844,0.569313862772554
"Logistic Regression",0.143707787597682,0.565913182636527
"LDA",0.143470041972444,0.565713142628526
"Lasso",0.142393658446427,0.565513102620524
"PLS-DA",0.139416193958596,0.566113222644529
"Ridge",0.134992260376393,0.565513102620524
"Elastic Net",0.134992260376393,0.565513102620524
"KNN",0.101569432756189,0.554510902180436
"Naive Bayes",0.000512657930742871,0.536507301460292
