"Model","Kappa","Accuracy"
"Ridge",0.150837145531404,0.468293658731746
"Lasso",0.14774780207618,0.519303860772154
"LDA",0.146302421747858,0.464092818563713
"FDA",0.143531622467731,0.47749549909982
"PLS-DA",0.142006029915074,0.465893178635727
"Logistic Regression",0.140426664207507,0.462892578515703
"Elastic Net",0.132471922967474,0.476895379075815
"NDA",0.105671382731525,0.424084816963393
"Naive Bayes",0.100477286288629,0.412082416483297
"KNN",0.0976141882301602,0.422084416883377
